t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=C:\\Users\\shres\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=D:\\ai-resume\\resume-matcher-main\\ngrok-tunnels.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-20T17:00:45+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-20T17:00:45+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-20T17:00:45+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-20T17:08:15+0530 lvl=info msg="join connections" obj=join id=7e215de56504 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:08:20+0530 lvl=info msg="join connections" obj=join id=e1381ff0638b l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=5bba1750727c l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=2a09a305bb1b l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=b25748409d27 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=bb6822de9297 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=f2cca75ec56b l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=7da39b11ac27 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=a88550672ffb l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=93183828fd7a l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=66d1433bae74 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=0a41eaa3bbd0 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=51990a74e83c l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=cdd1cfbe651c l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=b76a4e17858d l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=147c8a742b38 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=81bf2f8e3424 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
t=2026-01-20T17:18:32+0530 lvl=info msg="join connections" obj=join id=79b8c8204047 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51333
